pooling,task,pr_auc,pr_auc_untrained,gap,arm,seed
window_score,pulsating,0.7322854977181775,0.7342863437987022,-0.002000846080524643,exp03_fb0_b0p1_comb,0
window_score,eb,0.7155522751606963,0.6182177062611279,0.09733456889956837,exp03_fb0_b0p1_comb,0
window_score,rotation,0.5391889195403264,0.5039936172777815,0.03519530226254497,exp03_fb0_b0p1_comb,0
window_score,transit,0.154079066902061,0.08207407152317643,0.07200499537888456,exp03_fb0_b0p1_comb,0
mean,pulsating,0.8215113434096336,0.7674835379513198,0.05402780545831376,exp03_fb0_b0p1_comb,0
mean,eb,0.7781449184876282,0.7125878172203186,0.06555710126730963,exp03_fb0_b0p1_comb,0
mean,rotation,0.5476806034361319,0.5317357169467057,0.015944886489426158,exp03_fb0_b0p1_comb,0
mean,transit,0.14135017984457407,0.08057794257269656,0.06077223727187751,exp03_fb0_b0p1_comb,0
window_score,pulsating,0.7271068748015845,0.7342863437987022,-0.007179468997117633,exp03_fb0_b0p1_comb,1
window_score,eb,0.6767462925116134,0.6182177062611279,0.058528586250485515,exp03_fb0_b0p1_comb,1
window_score,rotation,0.5249802002204652,0.5039936172777815,0.02098658294268374,exp03_fb0_b0p1_comb,1
window_score,transit,0.14364212853218275,0.08207407152317643,0.06156805700900632,exp03_fb0_b0p1_comb,1
mean,pulsating,0.8212716370134576,0.7674835379513198,0.05378809906213777,exp03_fb0_b0p1_comb,1
mean,eb,0.7422717175360362,0.7125878172203186,0.02968390031571755,exp03_fb0_b0p1_comb,1
mean,rotation,0.5506092099242615,0.5317357169467057,0.018873492977555806,exp03_fb0_b0p1_comb,1
mean,transit,0.1139030978280866,0.08057794257269656,0.03332515525539004,exp03_fb0_b0p1_comb,1
window_score,pulsating,0.6988564341628419,0.7342863437987022,-0.035429909635860235,exp03_fb0_b0p1_comb,2
window_score,eb,0.6948489038029764,0.6182177062611279,0.07663119754184844,exp03_fb0_b0p1_comb,2
window_score,rotation,0.5441963558253714,0.5039936172777815,0.040202738547589933,exp03_fb0_b0p1_comb,2
window_score,transit,0.16396429894773026,0.08207407152317643,0.08189022742455383,exp03_fb0_b0p1_comb,2
mean,pulsating,0.7958389890383315,0.7674835379513198,0.02835545108701165,exp03_fb0_b0p1_comb,2
mean,eb,0.7680001869134477,0.7125878172203186,0.055412369693129127,exp03_fb0_b0p1_comb,2
mean,rotation,0.5484565078896018,0.5317357169467057,0.016720790942896024,exp03_fb0_b0p1_comb,2
mean,transit,0.13364619056093202,0.08057794257269656,0.053068247988235465,exp03_fb0_b0p1_comb,2
window_score,pulsating,0.7477336526959266,0.7342863437987022,0.013447308897224453,exp03_fb0p02_b0p1_lpsd,0
window_score,eb,0.7409816075384207,0.6182177062611279,0.12276390127729275,exp03_fb0p02_b0p1_lpsd,0
window_score,rotation,0.5190786172206718,0.5039936172777815,0.015084999942890365,exp03_fb0p02_b0p1_lpsd,0
window_score,transit,0.1277878137440639,0.08207407152317643,0.04571374222088746,exp03_fb0p02_b0p1_lpsd,0
mean,pulsating,0.822181531433348,0.7674835379513198,0.054697993482028195,exp03_fb0p02_b0p1_lpsd,0
mean,eb,0.773693955284275,0.7125878172203186,0.06110613806395637,exp03_fb0p02_b0p1_lpsd,0
mean,rotation,0.5605820624794243,0.5317357169467057,0.028846345532718587,exp03_fb0p02_b0p1_lpsd,0
mean,transit,0.11651768069307109,0.08057794257269656,0.03593973812037453,exp03_fb0p02_b0p1_lpsd,0
window_score,pulsating,0.7502827059815552,0.7342863437987022,0.015996362182853052,exp03_fb0p02_b0p1_lpsd,1
window_score,eb,0.7279118832998417,0.6182177062611279,0.10969417703871376,exp03_fb0p02_b0p1_lpsd,1
window_score,rotation,0.5353165901681035,0.5039936172777815,0.03132297289032204,exp03_fb0p02_b0p1_lpsd,1
window_score,transit,0.14784155489540765,0.08207407152317643,0.06576748337223122,exp03_fb0p02_b0p1_lpsd,1
mean,pulsating,0.7593717140640959,0.7674835379513198,-0.008111823887223979,exp03_fb0p02_b0p1_lpsd,1
mean,eb,0.7770133234508841,0.7125878172203186,0.06442550623056553,exp03_fb0p02_b0p1_lpsd,1
mean,rotation,0.5608390506943316,0.5317357169467057,0.02910333374762586,exp03_fb0p02_b0p1_lpsd,1
mean,transit,0.11944425687747516,0.08057794257269656,0.038866314304778604,exp03_fb0p02_b0p1_lpsd,1
window_score,pulsating,0.7374099636985367,0.7342863437987022,0.003123619899834562,exp03_fb0p02_b0p1_lpsd,2
window_score,eb,0.7441418580446495,0.6182177062611279,0.12592415178352157,exp03_fb0p02_b0p1_lpsd,2
window_score,rotation,0.5166405309731301,0.5039936172777815,0.01264691369534865,exp03_fb0p02_b0p1_lpsd,2
window_score,transit,0.13365906414504863,0.08207407152317643,0.0515849926218722,exp03_fb0p02_b0p1_lpsd,2
mean,pulsating,0.7681119883793767,0.7674835379513198,0.0006284504280568148,exp03_fb0p02_b0p1_lpsd,2
mean,eb,0.7859096398848437,0.7125878172203186,0.07332182266452514,exp03_fb0p02_b0p1_lpsd,2
mean,rotation,0.5547479606003898,0.5317357169467057,0.02301224365368404,exp03_fb0p02_b0p1_lpsd,2
mean,transit,0.1231116056183967,0.08057794257269656,0.04253366304570014,exp03_fb0p02_b0p1_lpsd,2
