exp_name,readout,task,pr_auc_mean,pr_auc_untrained,gap_mean,gap_sd,n_seeds,gap_se,mean_over_2se
exp04_enc_z32,gbm,eb,0.76763,0.708617,0.059014,0.01221,3,0.007049,True
exp03_fb0_b0p1_comb,gbm,eb,0.778161,0.731495,0.046666,0.007215,3,0.004166,True
exp04_enc_whalf,gbm,eb,0.756561,0.720696,0.035865,0.002729,2,0.00193,True
exp04_fb0p04_b0p1_lpsd,gbm,eb,0.766193,0.731495,0.034698,,1,,False
exp04_enc_z64k9,gbm,eb,0.755551,0.72189,0.033661,0.012196,2,0.008624,True
exp04_fb0p04_b0p2_lpsd,gbm,eb,0.759947,0.731495,0.028452,,1,,False
exp04_fb0p01_b0p2_lpsd,gbm,eb,0.759805,0.731495,0.02831,,1,,False
exp03_fb0p02_b0p1_lpsd,gbm,eb,0.755474,0.731495,0.023979,0.011917,3,0.00688,True
exp04_enc_k9,gbm,eb,0.754674,0.73371,0.020964,0.006828,2,0.004828,True
exp03_fb0p05_b0p3_lpsd,gbm,eb,0.751285,0.731495,0.01979,0.008027,3,0.004635,True
exp04_fb0p01_b0p1_lpsd,gbm,eb,0.749872,0.731495,0.018377,0.000161,2,0.000114,True
exp04_enc_z64,gbm,eb,0.745833,0.728926,0.016907,0.021225,3,0.012254,False
exp04_enc_k15,gbm,eb,0.742762,0.727879,0.014883,0.002871,2,0.00203,True
exp04_enc_d3,gbm,eb,0.722966,0.711603,0.011363,0.013388,2,0.009467,False
exp04_enc_w2x,gbm,eb,0.753449,0.744485,0.008964,0.000891,2,0.00063,True
exp04_fb0p04_b0p05_lpsd,gbm,eb,0.739783,0.731495,0.008288,,1,,False
exp04_fb0p01_b0p05_lpsd,gbm,eb,0.739777,0.731495,0.008282,0.011417,2,0.008073,False
exp04_fb0p02_b0p2_lpsd,gbm,eb,0.737334,0.731495,0.005839,0.00113,2,0.000799,True
exp04_winner_ep100,gbm,eb,0.727459,0.731495,-0.004036,,1,,False
exp04_enc_d5,gbm,eb,0.7356,0.74616,-0.010561,0.011528,2,0.008152,False
exp04_fb0p02_b0p05_lpsd,gbm,eb,0.719223,0.731495,-0.012272,0.024383,2,0.017242,False
exp04_enc_whalf,logistic,eb,0.779718,0.679704,0.100014,0.00278,2,0.001966,True
exp04_enc_z32,logistic,eb,0.75914,0.660661,0.098478,0.015134,3,0.008738,True
exp04_enc_z64,logistic,eb,0.768838,0.689314,0.079524,0.016149,3,0.009324,True
exp04_enc_d3,logistic,eb,0.741261,0.664731,0.076531,0.012624,2,0.008927,True
exp04_winner_ep100,logistic,eb,0.786748,0.712588,0.07416,,1,,False
exp04_enc_w2x,logistic,eb,0.781575,0.707498,0.074077,0.001272,2,0.000899,True
exp04_fb0p04_b0p2_lpsd,logistic,eb,0.782625,0.712588,0.070037,,1,,False
exp04_enc_k15,logistic,eb,0.774112,0.706816,0.067296,0.003515,2,0.002485,True
exp03_fb0p02_b0p1_lpsd,logistic,eb,0.778872,0.712588,0.066284,0.006316,3,0.003647,True
exp04_fb0p01_b0p2_lpsd,logistic,eb,0.774452,0.712588,0.061864,,1,,False
exp04_fb0p04_b0p05_lpsd,logistic,eb,0.772901,0.712588,0.060313,,1,,False
exp04_fb0p01_b0p1_lpsd,logistic,eb,0.771421,0.712588,0.058833,0.012254,2,0.008665,True
exp04_fb0p04_b0p1_lpsd,logistic,eb,0.771105,0.712588,0.058517,,1,,False
exp03_fb0p05_b0p3_lpsd,logistic,eb,0.767607,0.712588,0.055019,0.005981,3,0.003453,True
exp04_fb0p02_b0p05_lpsd,logistic,eb,0.767444,0.712588,0.054856,0.001768,2,0.00125,True
exp04_fb0p02_b0p2_lpsd,logistic,eb,0.763354,0.712588,0.050766,0.017684,2,0.012505,True
exp03_fb0_b0p1_comb,logistic,eb,0.762806,0.712588,0.050218,0.018492,3,0.010676,True
exp04_fb0p01_b0p05_lpsd,logistic,eb,0.7605,0.712588,0.047912,0.007364,2,0.005207,True
exp04_enc_k9,logistic,eb,0.781855,0.735839,0.046016,0.003464,2,0.002449,True
exp04_enc_z64k9,logistic,eb,0.764376,0.722294,0.042082,0.00489,2,0.003458,True
exp04_enc_d5,logistic,eb,0.774275,0.735368,0.038908,0.012984,2,0.009181,True
exp04_enc_whalf,gbm,pulsating,0.815401,0.78044,0.034961,0.035033,2,0.024772,False
exp04_enc_w2x,gbm,pulsating,0.794313,0.776625,0.017688,0.003522,2,0.002491,True
exp04_enc_k15,gbm,pulsating,0.801823,0.784712,0.017111,8.9e-05,2,6.3e-05,True
exp04_enc_z64k9,gbm,pulsating,0.813259,0.798593,0.014665,0.012897,2,0.00912,False
