cell,mode,lambda_dyn,periodic_ratio,periodic_roll_mse,periodic_pers_mse,quiet_ratio,quiet_roll_mse,quiet_pers_mse,periodic_minus_quiet_ratio
comb_fbwd_c0p1,fwd_bwd,7,2.027701466897588,0.024466775679705424,0.049476039409748845,2.5129617202822176,0.00742601282607205,0.0185533096665967,-0.4852602533846295
comb_fbwd_c0p3,fwd_bwd,20,1.8742524280944584,0.03317891920697878,0.06048810932327578,2.3264912783071883,0.009912058991911124,0.022403692009252425,-0.4522388502127299
comb_fbwd_c1p0,fwd_bwd,66,1.5527035405118026,0.5640151158278289,0.08578325255618208,1.9089844433972751,0.5024337994597396,0.0290667715319626,-0.35628090288547254
comb_fwd_c0p1,fwd,13,1.3451847603837153,0.05315546088902563,0.047960769702671276,1.565533043514252,0.0198917709380669,0.01873355373598313,-0.22034828313053678
comb_fwd_c0p3,fwd,40,1.26057211309627,0.20660534918683635,0.05608511566096217,1.5973886068985699,0.12089622387433574,0.02021183896971095,-0.33681649380229994
comb_fwd_c1p0,fwd,130,1.7537707512123375,0.04373857501118083,0.07476495170826244,2.106178291734217,0.012410387596602901,0.025300846194729526,-0.3524075405218796
comb_multi_c0p1,multistep,5,2.144524099080464,0.022505928706902375,0.048246888768472856,2.6545666744819494,0.00694873371829445,0.018444865634693948,-0.5100425754014855
comb_multi_c0p3,multistep,14,2.1524194744612615,0.02228286254640125,0.0479572020204105,2.696491372250809,0.006847042507014201,0.018462672717592776,-0.5440718977895473
comb_multi_c1p0,multistep,48,2.1733007168855467,0.022894948566279875,0.04976084459053123,2.7067914961026256,0.006762669194615775,0.0183087745412558,-0.5334907792170789
comb_off,fwd,0,1.3947494176790678,0.03519086241589753,0.049056800781484645,1.3067117586839174,0.014807104336330625,0.0193490288373965,0.08803765899515037
lpsd_multi_c1p0,multistep,32,2.1907944601221785,0.043581882524154125,0.09539886212815488,2.69490010572054,0.014915353886327126,0.040230266718586774,-0.5041056455983615
lpsd_off,fwd,0,1.3231887394777813,0.07766610986065317,0.10284620181330813,1.5534785356731278,0.02914546607279525,0.045233709853084246,-0.2302897961953465
