arm,task,shape,pooling,pr_auc,roc_auc,n_test_pos,n_test,r2,rmse,spearman,log_target,run_id
seed0,osc_giant,detection,mean,0.8177684317371393,0.9209472095966323,1313.0,3429,,,,,20260722T202448
seed0,osc_giant,detection,window_score,0.7216165195563936,0.871457736147324,1313.0,3429,,,,,20260722T202448
seed0,solar_like_osc,detection,mean,0.28612595951031816,0.7732355947910994,417.0,3429,,,,,20260722T202448
seed0,solar_like_osc,detection,window_score,0.23651536945205823,0.7426632399259876,417.0,3429,,,,,20260722T202448
seed0,flare,detection,mean,0.3975832851650897,0.8503915789473684,304.0,3429,,,,,20260722T202448
seed0,flare,detection,window_score,0.3959898169767686,0.8213326315789473,304.0,3429,,,,,20260722T202448
seed0,rgb_vs_heb,contrastive,mean,0.7870303850855636,0.6135693215339233,113.0,161,,,,,20260722T202448
seed0,numax_hon,regression,mean,,,,1313,0.7345964609888682,0.10695596789356603,0.8217185332932909,True,20260722T202448
seed0,numax_hatt,regression,mean,,,,417,0.7714208761723407,0.20532581928800728,0.8853338278220181,True,20260722T202448
seed0,dnu_hatt,regression,mean,,,,417,0.760384886914385,0.16830625990123763,0.8806260637628661,True,20260722T202448
seed0,prot_kounkel,regression,mean,,,,138,0.3124455974632441,1.252441385397824,0.7060482181614391,False,20260722T202448
seed1,osc_giant,detection,mean,0.8118453066717776,0.9127681308191893,1313.0,3429,,,,,20260722T202448
seed1,osc_giant,detection,window_score,0.7109160173963649,0.8668347785774653,1313.0,3429,,,,,20260722T202448
seed1,solar_like_osc,detection,mean,0.3004325710883214,0.7762109037869306,417.0,3429,,,,,20260722T202448
seed1,solar_like_osc,detection,window_score,0.24091290716670433,0.7357946312272889,417.0,3429,,,,,20260722T202448
seed1,flare,detection,mean,0.43468857952879847,0.8542684210526317,304.0,3429,,,,,20260722T202448
seed1,flare,detection,window_score,0.38719615647625555,0.8238231578947368,304.0,3429,,,,,20260722T202448
seed1,rgb_vs_heb,contrastive,mean,0.7586183891084193,0.5562315634218289,113.0,161,,,,,20260722T202448
seed1,numax_hon,regression,mean,,,,1313,0.696979114514015,0.11428466217460193,0.7884516951385782,True,20260722T202448
seed1,numax_hatt,regression,mean,,,,417,0.7654119104910868,0.20800714913047091,0.8723692228155021,True,20260722T202448
seed1,dnu_hatt,regression,mean,,,,417,0.7544490013637881,0.17037819708411964,0.8668684458447362,True,20260722T202448
seed1,prot_kounkel,regression,mean,,,,138,0.24355485851741432,1.3136890960831695,0.6689993002103728,False,20260722T202448
seed2,osc_giant,detection,mean,0.8111240151670281,0.9172571939468194,1313.0,3429,,,,,20260722T202448
seed2,osc_giant,detection,window_score,0.7274294490734232,0.8676417445438015,1313.0,3429,,,,,20260722T202448
seed2,solar_like_osc,detection,mean,0.3051474002427487,0.7861017958541533,417.0,3429,,,,,20260722T202448
seed2,solar_like_osc,detection,window_score,0.24355422912989155,0.7449530415508231,417.0,3429,,,,,20260722T202448
seed2,flare,detection,mean,0.4477609907596359,0.8549042105263158,304.0,3429,,,,,20260722T202448
seed2,flare,detection,window_score,0.404860260028757,0.8244042105263157,304.0,3429,,,,,20260722T202448
seed2,rgb_vs_heb,contrastive,mean,0.823221799796599,0.6502581120943952,113.0,161,,,,,20260722T202448
seed2,numax_hon,regression,mean,,,,1313,0.7154815335039135,0.11074060632163132,0.8016571525461934,True,20260722T202448
seed2,numax_hatt,regression,mean,,,,417,0.7745984765592556,0.20389365264496953,0.8758872413657767,True,20260722T202448
seed2,dnu_hatt,regression,mean,,,,417,0.7671287136660846,0.16592091613241974,0.8735679853378369,True,20260722T202448
seed2,prot_kounkel,regression,mean,,,,138,0.3282479753879315,1.2379650054057374,0.7078450689919986,False,20260722T202448
untrained,osc_giant,detection,mean,0.7159896042033664,0.8536501352621811,1313.0,3429,,,,,20260722T202448
untrained,osc_giant,detection,window_score,0.5994263437452674,0.7769332989718922,1313.0,3429,,,,,20260722T202448
untrained,solar_like_osc,detection,mean,0.19527328847049802,0.6780949742198272,417.0,3429,,,,,20260722T202448
untrained,solar_like_osc,detection,window_score,0.14093414588530817,0.584174891162767,417.0,3429,,,,,20260722T202448
untrained,flare,detection,mean,0.39500318335178286,0.8156778947368419,304.0,3429,,,,,20260722T202448
untrained,flare,detection,window_score,0.3574472439150904,0.802801052631579,304.0,3429,,,,,20260722T202448
untrained,rgb_vs_heb,contrastive,mean,0.7591403433869308,0.5704277286135693,113.0,161,,,,,20260722T202448
untrained,numax_hon,regression,mean,,,,1313,0.42990047390281794,0.15675702309137524,0.6263366144489151,True,20260722T202448
untrained,numax_hatt,regression,mean,,,,417,0.7079409103923346,0.23209225393007296,0.8328569660176879,True,20260722T202448
untrained,dnu_hatt,regression,mean,,,,417,0.7038681981569429,0.1871051280500323,0.8372643669903348,True,20260722T202448
untrained,prot_kounkel,regression,mean,,,,138,0.11880063838631161,1.417884853487493,0.5315071057805208,False,20260722T202448
