TIC_ID,n_sectors,sector_list
373061126,5,"[np.int64(18), np.int64(19), np.int64(24), np.int64(25), np.int64(52)]"
238301314,2,"[np.int64(57), np.int64(84)]"
405267424,2,"[np.int64(42), np.int64(70)]"
378534800,6,"[np.int64(17), np.int64(18), np.int64(24), np.int64(58), np.int64(78), np.int64(85)]"
117927293,2,"[np.int64(57), np.int64(84)]"
372131402,3,"[np.int64(17), np.int64(57), np.int64(84)]"
238432056,3,"[np.int64(17), np.int64(57), np.int64(84)]"
395318337,1,[np.int64(83)]
417860263,6,"[np.int64(57), np.int64(58), np.int64(77), np.int64(78), np.int64(84), np.int64(85)]"
331740746,1,[np.int64(17)]
258868211,2,"[np.int64(57), np.int64(84)]"
58734758,1,[np.int64(42)]
395353076,2,"[np.int64(57), np.int64(84)]"
612002469,3,"[np.int64(17), np.int64(57), np.int64(84)]"
418760147,4,"[np.int64(42), np.int64(43), np.int64(70), np.int64(83)]"
405190745,3,"[np.int64(42), np.int64(43), np.int64(70)]"
437740465,2,"[np.int64(17), np.int64(57)]"
194387552,3,"[np.int64(17), np.int64(57), np.int64(84)]"
437749749,3,"[np.int64(17), np.int64(57), np.int64(84)]"
293305996,2,"[np.int64(42), np.int64(43)]"
440042075,3,"[np.int64(17), np.int64(57), np.int64(84)]"
52052933,2,"[np.int64(57), np.int64(84)]"
194503676,1,[np.int64(17)]
238305920,3,"[np.int64(17), np.int64(57), np.int64(84)]"
288294358,3,"[np.int64(17), np.int64(57), np.int64(84)]"
428417801,3,"[np.int64(58), np.int64(78), np.int64(85)]"
257303588,3,"[np.int64(42), np.int64(43), np.int64(70)]"
466443343,3,"[np.int64(42), np.int64(43), np.int64(70)]"
352180433,3,"[np.int64(17), np.int64(57), np.int64(84)]"
440072380,3,"[np.int64(17), np.int64(57), np.int64(84)]"
194531699,3,"[np.int64(17), np.int64(57), np.int64(84)]"
440656029,3,"[np.int64(17), np.int64(57), np.int64(84)]"
242700779,3,"[np.int64(17), np.int64(57), np.int64(84)]"
240644651,3,"[np.int64(17), np.int64(84), np.int64(85)]"
444335503,4,"[np.int64(57), np.int64(58), np.int64(78), np.int64(85)]"
190996748,2,"[np.int64(57), np.int64(84)]"
320502029,5,"[np.int64(17), np.int64(57), np.int64(58), np.int64(84), np.int64(85)]"
